CCA3,Rank,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),World Population Percentage
COM,163,Comoros,Moroni,Africa,836774.0,806166.0,730216.0,656024.0,536758.0,431119.0,328328.0,242351.0,1862,449.3953,0.01
COK,223,Cook Islands,Avarua,Oceania,17011.0,17029.0,17695.0,17212.0,15897.0,17123.0,17651.0,20470.0,236,72.0805,0.0
CRI,124,Costa Rica,San José,North America,5180829.0,5123105.0,4895242.0,4622252.0,3979193.0,3158253.0,2414303.0,1855697.0,51100,101.3861,0.06
HRV,130,Croatia,Zagreb,Europe,4030358.0,4096868.0,4254815.0,4368682.0,4548434.0,4873707.0,4680144.0,4492638.0,56594,71.2153,0.05
CUB,85,Cuba,Havana,North America,11212191.0,11300698.0,11339894.0,11290417.0,11105791.0,10626680.0,9809107.0,8869636.0,109884,102.0366,0.14
CUW,189,Curacao,Willemstad,North America,191163.0,189288.0,169572.0,159380.0,141424.0,155446.0,156851.0,150385.0,444,430.5473,0.0
CYP,158,Cyprus,Nicosia,Europe,1251488.0,1237537.0,1187280.0,1129686.0,948237.0,788500.0,679327.0,640804.0,9251,135.2814,0.02
CZE,88,Czech Republic,Prague,Europe,10493986.0,10530953.0,10523798.0,10464749.0,10234710.0,10301192.0,10270060.0,9795744.0,78865,133.0627,0.13
DNK,115,Denmark,Copenhagen,Europe,5882261.0,5825641.0,5677796.0,5550849.0,5340655.0,5144623.0,5125392.0,4922963.0,43094,136.4984,0.07
DJI,160,Djibouti,Djibouti,Africa,1120849.0,1090156.0,1006259.0,919199.0,742033.0,577173.0,324121.0,144379.0,23200,48.3125,0.01
DMA,204,Dominica,Roseau,North America,72737.0,71995.0,70007.0,68755.0,68346.0,69481.0,72978.0,68895.0,751,96.8535,0.0
DOM,84,Dominican Republic,Santo Domingo,North America,11228821.0,10999664.0,10405832.0,9775755.0,8540791.0,7129004.0,5755800.0,4475871.0,48671,230.7087,0.14
COD,15,DR Congo,Kinshasa,Africa,99010212.0,92853164.0,78656904.0,66391257.0,48616317.0,35987541.0,26708686.0,20151733.0,2344858,42.2244,1.24
ECU,67,Ecuador,Quito,South America,18001000.0,17588595.0,16195902.0,14989585.0,12626507.0,10449837.0,8135845.0,6172215.0,276841,65.0229,0.23
EGY,14,Egypt,Cairo,Africa,110990103.0,107465134.0,97723799.0,87252413.0,71371371.0,57214630.0,43748556.0,34781986.0,1002450,110.7188,1.39
SLV,112,El Salvador,San Salvador,North America,6336392.0,6292731.0,6231066.0,6114034.0,5958482.0,5367179.0,4508992.0,3619090.0,21041,301.145,0.08
GNQ,152,Equatorial Guinea,Malabo,Africa,1674908.0,1596049.0,1346973.0,1094524.0,684977.0,465549.0,282509.0,316955.0,28051,59.7094,0.02
