CCA3,Rank,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),World Population Percentage
LCA,190,Saint Lucia,Castries,North America,179857.0,179237.0,175623.0,170935.0,159500.0,142301.0,121633.0,103090.0,616,291.9756,0.0
MAF,220,Saint Martin,Marigot,North America,31791.0,32552.0,35020.0,36458.0,29610.0,28127.0,7776.0,5802.0,53,599.8302,0.0
SPM,229,Saint Pierre and Miquelon,Saint-Pierre,North America,5862.0,5906.0,5978.0,6052.0,6274.0,6324.0,6106.0,5537.0,242,24.2231,0.0
VCT,199,Saint Vincent and the Grenadines,Kingstown,North America,103948.0,104632.0,106482.0,109308.0,113813.0,112487.0,107480.0,98459.0,389,267.2185,0.0
WSM,188,Samoa,Apia,Oceania,222382.0,214929.0,203571.0,194672.0,184008.0,168186.0,164905.0,142771.0,2842,78.2484,0.0
SMR,218,San Marino,San Marino,Europe,33660.0,34007.0,33570.0,31608.0,26823.0,23132.0,21346.0,18169.0,61,551.8033,0.0
STP,187,Sao Tome and Principe,São Tomé,Africa,227380.0,218641.0,201124.0,182138.0,143714.0,120343.0,97210.0,77583.0,964,235.8714,0.0
SAU,41,Saudi Arabia,Riyadh,Asia,36408820.0,35997107.0,32749848.0,29411929.0,21547390.0,16004763.0,10171710.0,6106191.0,2149690,16.9368,0.46
SEN,72,Senegal,Dakar,Africa,17316449.0,16436119.0,14356181.0,12530121.0,9704287.0,7536001.0,5703869.0,4367744.0,196722,88.025,0.22
SRB,105,Serbia,Belgrade,Europe,7221365.0,7358005.0,7519496.0,7653748.0,7935022.0,7987529.0,7777010.0,7193533.0,88361,81.7257,0.09
SYC,196,Seychelles,Victoria,Africa,107118.0,105530.0,99240.0,92409.0,80060.0,71057.0,65290.0,54379.0,452,236.9867,0.0
SLE,102,Sierra Leone,Freetown,Africa,8605718.0,8233969.0,7314773.0,6436698.0,4584067.0,4325388.0,3367477.0,2778557.0,71740,119.957,0.11
SGP,113,Singapore,Singapore,Asia,5975689.0,5909869.0,5650018.0,5163590.0,4053602.0,3022209.0,2400729.0,2061831.0,710,8416.4634,0.07
SXM,214,Sint Maarten,Philipsburg,North America,44175.0,43621.0,40205.0,33034.0,30489.0,27845.0,12243.0,6260.0,34,1299.2647,0.0
SVK,116,Slovakia,Bratislava,Europe,5643453.0,5456681.0,5424444.0,5396424.0,5376690.0,5261305.0,4973883.0,4522867.0,49037,115.0856,0.07
SVN,148,Slovenia,Ljubljana,Europe,2119844.0,2117641.0,2080862.0,2057286.0,1984339.0,1986024.0,1901570.0,1741286.0,20273,104.5649,0.03
SLB,166,Solomon Islands,Honiara,Oceania,724273.0,691191.0,612660.0,540394.0,429978.0,331823.0,233668.0,172833.0,28896,25.0648,0.01
SOM,70,Somalia,Mogadishu,Africa,17597511.0,16537016.0,13763906.0,12026649.0,8721465.0,6999096.0,5892224.0,3720977.0,637657,27.5971,0.22
ZAF,24,South Africa,Pretoria,Africa,59893885.0,58801927.0,55876504.0,51784921.0,46813266.0,39877570.0,29463549.0,22368306.0,1221037,49.0517,0.75
KOR,29,South Korea,Seoul,Asia,51815810.0,51844690.0,50994401.0,48813042.0,46788591.0,44120039.0,38170501.0,32601143.0,100210,517.0722,0.65
SSD,86,South Sudan,Juba,Africa,10913164.0,10606227.0,11194299.0,9714419.0,6114440.0,4750817.0,4192011.0,3342410.0,619745,17.6091,0.14
ESP,30,Spain,Madrid,Europe,47558630.0,47363807.0,46431342.0,46572772.0,40741651.0,38889889.0,37491666.0,33792617.0,505992,93.9909,0.6
LKA,61,Sri Lanka,Colombo,Asia,21832143.0,21715079.0,21336697.0,20668557.0,18776371.0,17204094.0,14943645.0,12388769.0,65610,332.7563,0.27
SDN,32,Sudan,Khartoum,Africa,46874204.0,44440486.0,38171178.0,33739933.0,26298773.0,21090886.0,16673586.0,11305206.0,1886068,24.8529,0.59
SUR,170,Suriname,Paramaribo,South America,618040.0,607065.0,575475.0,546080.0,478998.0,412756.0,375112.0,379918.0,163820,3.7727,0.01
SWE,87,Sweden,Stockholm,Europe,10549347.0,10368969.0,9849349.0,9381729.0,8871043.0,8548406.0,8311763.0,8027702.0,450295,23.4276,0.13
CHE,101,Switzerland,Bern,Europe,8740472.0,8638613.0,8281732.0,7822435.0,7182059.0,6711693.0,6319113.0,6181227.0,41284,211.7157,0.11
SYR,60,Syria,Damascus,Asia,22125249.0,20772595.0,19205178.0,22337563.0,16307654.0,12408996.0,8898954.0,6319199.0,185180,119.4797,0.28
TWN,57,Taiwan,Taipei,Asia,23893394.0,23821464.0,23512136.0,23083083.0,22194731.0,20586174.0,18100281.0,14957870.0,36193,660.1662,0.3
TJK,95,Tajikistan,Dushanbe,Asia,9952787.0,9543207.0,8524063.0,7621779.0,6272998.0,5417860.0,4045965.0,2993019.0,143100,69.5513,0.12
TZA,22,Tanzania,Dodoma,Africa,65497748.0,61704518.0,52542823.0,45110527.0,34463704.0,26206012.0,19297659.0,13618192.0,945087,69.3034,0.82
THA,20,Thailand,Bangkok,Asia,71697030.0,71475664.0,70294397.0,68270489.0,63066603.0,55228410.0,45737753.0,35791728.0,513120,139.7276,0.9
TLS,155,Timor-Leste,Dili,Asia,1341296.0,1299995.0,1205813.0,1088486.0,878360.0,758106.0,642224.0,554021.0,14874,90.1772,0.02
TGO,100,Togo,Lomé,Africa,8848699.0,8442580.0,7473229.0,6571855.0,5008035.0,3875947.0,2838110.0,2197383.0,56785,155.8281,0.11
TKL,233,Tokelau,Nukunonu,Oceania,1871.0,1827.0,1454.0,1367.0,1666.0,1669.0,1647.0,1714.0,12,155.9167,0.0
TON,197,Tonga,Nuku‘alofa,Oceania,106858.0,105254.0,106122.0,107383.0,102603.0,98727.0,96708.0,86484.0,747,143.0495,0.0
TTO,153,Trinidad and Tobago,Port-of-Spain,North America,1531044.0,1518147.0,1460177.0,1410296.0,1332203.0,1266518.0,1127852.0,988890.0,5130,298.4491,0.02
TUN,79,Tunisia,Tunis,Africa,12356117.0,12161723.0,11557779.0,10895063.0,9893316.0,8440023.0,6578156.0,5047404.0,163610,75.5218,0.15
TUR,18,Turkey,Ankara,Asia,85341241.0,84135428.0,79646178.0,73195345.0,64113547.0,54324142.0,44089069.0,35540990.0,783562,108.9145,1.07
TKM,111,Turkmenistan,Ashgabat,Asia,6430770.0,6250438.0,5766431.0,5267970.0,4569132.0,3720278.0,2862903.0,2201432.0,488100,13.1751,0.08
TCA,212,Turks and Caicos Islands,Cockburn Town,North America,45703.0,44276.0,36538.0,29726.0,18744.0,11709.0,7598.0,5665.0,948,48.2099,0.0
TUV,227,Tuvalu,Funafuti,Oceania,11312.0,11069.0,10877.0,10550.0,9638.0,9182.0,7731.0,5814.0,26,435.0769,0.0
UGA,31,Uganda,Kampala,Africa,47249585.0,44404611.0,37477356.0,32341728.0,24020697.0,17586630.0,13284026.0,10317212.0,241550,195.61,0.59
UKR,38,Ukraine,Kiev,Europe,39701739.0,43909666.0,44982564.0,45683020.0,48879755.0,51589817.0,49973920.0,47279086.0,603500,65.7858,0.5
ARE,97,United Arab Emirates,Abu Dhabi,Asia,9441129.0,9287289.0,8916899.0,8481771.0,3275333.0,1900151.0,1014048.0,298084.0,83600,112.9322,0.12
GBR,21,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900,277.9289,0.85
USA,3,United States,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610,36.0935,4.24
VIR,200,United States Virgin Islands,Charlotte Amalie,North America,99465.0,100442.0,102803.0,106142.0,108185.0,100685.0,96640.0,63446.0,347,286.6427,0.0
URY,133,Uruguay,Montevideo,South America,3422794.0,3429086.0,3402818.0,3352651.0,3292224.0,3117012.0,2953750.0,2790265.0,181034,18.9069,0.04
UZB,43,Uzbekistan,Tashkent,Asia,34627652.0,33526656.0,30949417.0,28614227.0,24925554.0,20579100.0,15947129.0,12011361.0,447400,77.3975,0.43
VUT,181,Vanuatu,Port-Vila,Oceania,326740.0,311685.0,276438.0,245453.0,192074.0,150882.0,118156.0,87019.0,12189,26.8061,0.0
VAT,234,Vatican City,Vatican City,Europe,510.0,520.0,564.0,596.0,651.0,700.0,733.0,752.0,1,510.0,0.0
VEN,51,Venezuela,Caracas,South America,28301696.0,28490453.0,30529716.0,28715022.0,24427729.0,19750579.0,15210443.0,11355475.0,916445,30.882,0.35
VNM,16,Vietnam,Hanoi,Asia,98186856.0,96648685.0,92191398.0,87411012.0,79001142.0,66912613.0,52968270.0,41928849.0,331212,296.4472,1.23
WLF,226,Wallis and Futuna,Mata-Utu,Oceania,11572.0,11655.0,12182.0,13142.0,14723.0,13454.0,11315.0,9377.0,142,81.493,0.0
ESH,172,Western Sahara,El Aaiún,Africa,575986.0,556048.0,491824.0,413296.0,270375.0,178529.0,116775.0,76371.0,266000,2.1654,0.01
YEM,46,Yemen,Sanaa,Asia,33696614.0,32284046.0,28516545.0,24743946.0,18628700.0,13375121.0,9204938.0,6843607.0,527968,63.8232,0.42
ZMB,63,Zambia,Lusaka,Africa,20017675.0,18927715.0,16248230.0,13792086.0,9891136.0,7686401.0,5720438.0,4281671.0,752612,26.5976,0.25
ZWE,74,Zimbabwe,Harare,Africa,16320537.0,15669666.0,14154937.0,12839771.0,11834676.0,10113893.0,7049926.0,5202918.0,390757,41.7665,0.2
ARG,33,Argentina,Buenos Aires,South America,45510318.0,45036032.0,43257065.0,41100123.0,37070774.0,32637657.0,28024803.0,23842803.0,2780400,16.3683,0.57
